expression,reading,meaning,tags
情緒,じょうちょ,"emotion, feeling",JLPT_1 JLPT
情緒,じょうしょ,"emotion, feeling",JLPT_1 JLPT
象徴,しょうちょう,symbol,JLPT_1 JLPT
小児科,しょうにか,pediatrics,JLPT_1 JLPT
使用人,しようにん,"employee, servant",JLPT_1 JLPT
情熱,じょうねつ,"passion, enthusiasm, zeal",JLPT_1 JLPT
譲歩,じょうほ,"concession, conciliation, compromise",JLPT_1 JLPT
条約,じょうやく,"treaty, pact",JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
勝利,しょうり,"victory, triumph, win",JLPT_1 JLPT
上陸,じょうりく,"landing, disembarkation",JLPT_1 JLPT
蒸溜,じょうりゅう,distillation,JLPT_1 JLPT
奨励,しょうれい,"encouragement, promotion",JLPT_1 JLPT
ショー,ショー,show,JLPT_1 JLPT
除外,じょがい,"exception, exclusion",JLPT_1 JLPT
職員,しょくいん,"staff member, personnel",JLPT_1 JLPT
植民地,しょくみんち,colony,JLPT_1 JLPT
職務,しょくむ,professional duties,JLPT_1 JLPT
諸君,しょくん,"Gentlemen!, Ladies!",JLPT_1 JLPT
助言,じょげん,"advice, suggestion",JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11
徐行,じょこう,going slowly,JLPT_1 JLPT
所在,しょざい,whereabouts,JLPT_1 JLPT
所持,しょじ,"possession, owning",JLPT_1 JLPT
所属,しょぞく,"attached to, belong to",JLPT_1 JLPT
処置,しょち,treatment,JLPT_1 JLPT
しょっちゅう,しょっちゅう,"always, constantly",JLPT_1 JLPT
所定,しょてい,"fixed, prescribed",JLPT_1 JLPT
所得,しょとく,income,JLPT_1 JLPT
処罰,しょばつ,punishment,JLPT_1 JLPT
初版,しょはん,first edition,JLPT_1 JLPT
書評,しょひょう,book review,JLPT_1 JLPT
処分,しょぶん,"disposal, dealing, punishment",JLPT_1 JLPT
庶民,しょみん,"masses, common people",JLPT_1 JLPT
庶務,しょむ,general affairs,JLPT_1 JLPT
所有,しょゆう,"one's possessions, ownership",JLPT_1 JLPT
調べ,しらべ,"investigation, inspection",JLPT_1 JLPT
自立,じりつ,"independence, self-reliance",JLPT_1 JLPT
記す,しるす,"to note, to write down",JLPT_1 JLPT
指令,しれい,"orders, instructions, directive",JLPT_1 JLPT
～心,～しん,mind of ~,JLPT_1 JLPT
陣,じん,"battle formation, camp, encampment",JLPT_1 JLPT
進化,しんか,"evolution, progress",JLPT_1 JLPT
人格,じんかく,"personality, character",JLPT_1 JLPT
審議,しんぎ,deliberation,JLPT_1 JLPT
新婚,しんこん,newly-wed,JLPT_1 JLPT
審査,しんさ,"judging, inspection, examination",JLPT_1 JLPT
人材,じんざい,man of talent,JLPT_1 JLPT
紳士,しんし,gentleman,JLPT_1 JLPT
真実,しんじつ,"truth, reality",JLPT_1 JLPT
信者,しんじゃ,"believer, devotee",JLPT_1 JLPT
真珠,しんじゅ,pearl,JLPT_1 JLPT
進出,しんしゅつ,advancement,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese
心情,しんじょう,mentality,JLPT_1 JLPT
新人,しんじん,"new face, newcomer",JLPT_1 JLPT
神聖,しんせい,"holiness, sacredness, dignity",JLPT_1 JLPT
親善,しんぜん,friendship,JLPT_1 JLPT
真相,しんそう,"truth, real situation",JLPT_1 JLPT
迅速,じんそく,"quick, fast, prompt",JLPT_1 JLPT
人体,じんたい,human body,JLPT_1 JLPT
新築,しんちく,"new building, new construction",JLPT_1 JLPT
心中,しんじゅう,double suicide,JLPT_1 JLPT
進呈,しんてい,presentation,JLPT_1 JLPT
進展,しんてん,"progress, development",JLPT_1 JLPT
神殿,しんでん,"temple, sacred place",JLPT_1 JLPT
進度,しんど,progress,JLPT_1 JLPT
振動,しんどう,"oscillation, vibration",JLPT_1 JLPT
新入生,しんにゅうせい,"new student, first-year student, freshman",JLPT_1 Intermediate_Japanese_Ln.5 JLPT Intermediate_Japanese
信任,しんにん,"trust, confidence, credence",JLPT_1 JLPT
神秘,しんぴ,mystery,JLPT_1 JLPT
辛抱,しんぼう,"patience, endurance",JLPT_1 JLPT
人民,じんみん,"people, public",JLPT_1 JLPT
侵略,しんりゃく,"aggression, invasion, raid",JLPT_1 JLPT
診療,しんりょう,medical examination and treatment,JLPT_1 JLPT
粋,すい,essence,JLPT_1 JLPT
水源,すいげん,source of river,JLPT_1 JLPT
推進,すいしん,"propulsion, driving force",JLPT_1 JLPT
吹奏,すいそう,playing wind instruments,JLPT_1 JLPT
推測,すいそく,"guess, conjecture",JLPT_1 JLPT
水田,すいでん,(water-filled) paddy field,JLPT_1 JLPT
推理,すいり,"reasoning, inference, mystery or detective genre",JLPT_1 JLPT
数詞,すうし,numeral,JLPT_1 JLPT
崇拝,すうはい,"worship, adoration",JLPT_1 JLPT
据え付ける,すえつける,"to install, to equip, to mount",JLPT_1 JLPT
据える,すえる,"to set, to lay, to place",JLPT_1 JLPT
すがすがしい,すがすがしい,"fresh, refreshing",JLPT_1 JLPT
救い,すくい,"help, aid, relief",JLPT_1 JLPT
すくう (みずを～),すくう (みずを～),to scoop,JLPT_1 JLPT
健やか,すこやか,"vigorous, healthy, sound",JLPT_1 JLPT
濯ぐ,すすぐ,"to rinse, to wash out",JLPT_1 JLPT
進み,すすみ,progress,JLPT_1 JLPT
裾,すそ,"(trouser) cuff, (skirt) hem, cut edge of a hairdo",JLPT_1 JLPT
スタジオ,スタジオ,studio,JLPT_1 JLPT
スチーム,スチーム,steam,JLPT_1 JLPT
ストライキ,ストライキ,strike,JLPT_1 JLPT
スト,スト,(abbr.) strike,JLPT_1 JLPT
ストロー,ストロー,straw,JLPT_1 JLPT
ストロボ,ストロボ,"stroboscope (literally: strobo, strobe lamp, stroboscopic lamp)",JLPT_1 JLPT
すばしこい,すばしこい,"nimble, smart, quick",JLPT_1 JLPT
素早い,すばやい,"fast, quick",JLPT_1 JLPT
ずばり,ずばり,"decisively, unreservedly, frankly",JLPT_1 JLPT
スプリング,スプリング,spring,JLPT_1 JLPT
スペース,スペース,space,JLPT_1 JLPT
ずぶぬれ,ずぶぬれ,"soaked, dripping wet",JLPT_1 JLPT
スポーツカー,スポーツカー,sports car,JLPT_1 JLPT
澄ます,すます,"to clear, to make clear, to listen for",JLPT_1 JLPT
清ます,すます,"to clear, to make clear, to listen for",JLPT_1 JLPT
済ます,すます,to finish; to settle; to do without,JLPT_1 JLPT
すみやか,すみやか,speedy,JLPT_1 JLPT
スラックス,スラックス,slacks,JLPT_1 JLPT
ずらっと,ずらっと,"in a line, in a row",JLPT_1 JLPT
ずるずる,ずるずる,"dragging on, sound of sniffling",JLPT_1 JLPT
ずれ,ずれ,"difference, gap",JLPT_1 JLPT
すれちがい,すれちがい,chance encounter,JLPT_1 JLPT
擦れる,すれる,"to rub, to chafe",JLPT_1 JLPT
すんなり,すんなり,"pass with no objection, slim, slender",JLPT_1 JLPT
生育,せいいく,"growth, development, breeding",JLPT_1 JLPT
成育,せいいく,"growth, raising",JLPT_1 JLPT
成果,せいか,"results, fruits",JLPT_1 JLPT
正解,せいかい,"correct, right answer, solution",JLPT_1 JLPT
正義,せいぎ,"justice, right, righteousness",JLPT_1 JLPT
生計,せいけい,"livelihood, living",JLPT_1 JLPT
政権,せいけん,"(political) administration, political power",JLPT_1 JLPT
星座,せいざ,constellation,JLPT_1 JLPT
制裁,せいさい,"restraint, sanctions, punishment",JLPT_1 JLPT
政策,せいさく,"political measures, policy",JLPT_1 JLPT
生死,せいし,life and death,JLPT_1 JLPT
静止,せいし,"stillness, repose, standing still",JLPT_1 JLPT
誠実,せいじつ,"sincere, honest, faithful",JLPT_1 JLPT
成熟,せいじゅく,"maturity, ripeness",JLPT_1 JLPT
青春,せいしゅん,"youth, springtime of life, adolescent",JLPT_1 JLPT
清純,せいじゅん,"purity, innocence",JLPT_1 JLPT
聖書,せいしょ,Bible,JLPT_1 JLPT
正常,せいじょう,"normalcy, normality, normal",JLPT_1 JLPT
制する,せいする,"to control, to command",JLPT_1 JLPT
整然,せいぜん,"orderly, regular, well-organized",JLPT_1 JLPT
盛装,せいそう,"be dressed up, wear rich clothes",JLPT_1 JLPT
盛大,せいだい,"grand, prosperous, magnificent",JLPT_1 JLPT
清濁,せいだく,"good and evil, purity and impurity",JLPT_1 JLPT
制定,せいてい,"enactment, establishment, creation",JLPT_1 JLPT
静的,せいてき,static,JLPT_1 JLPT
製鉄,せいてつ,iron manufacture,JLPT_1 JLPT
晴天,せいてん,fine weather,JLPT_1 JLPT
正当,せいとう,"just, due, proper",JLPT_1 JLPT
制服,せいふく,uniform,JLPT_1 JLPT
征服,せいふく,"conquest, subjugation, overcoming",JLPT_1 JLPT
製法,せいほう,"manufacturing method, recipe, formula",JLPT_1 JLPT
精密,せいみつ,"precise, exact, detailed, minute",JLPT_1 JLPT
税務署,ぜいむしょ,tax office,JLPT_1 JLPT
制約,せいやく,"limitation, constraints",JLPT_1 JLPT
勢力,せいりょく,"influence, power, might, strength",JLPT_1 JLPT
整列,せいれつ,"stand in a row, form a line",JLPT_1 JLPT
セール,セール,sale,JLPT_1 JLPT
急かす,せかす,"to hurry, to urge on",JLPT_1 JLPT
伜,せがれ,"son, my son",JLPT_1 JLPT
責務,せきむ,"duty, obligation",JLPT_1 JLPT
セクション,セクション,section,JLPT_1 JLPT
世辞,せじ,"flattery, compliment",JLPT_1 JLPT
世帯,せたい,household,JLPT_1 JLPT
是正,ぜせい,"correction, revision",JLPT_1 JLPT
世代,せだい,generation,JLPT_1 JLPT
切開,せっかい,"opening up, cutting through",JLPT_1 JLPT
セックス,セックス,sex,JLPT_1 JLPT
切実,せつじつ,"compelling, serious, severe, acute",JLPT_1 JLPT
接触,せっしょく,"touch, contact",JLPT_1 JLPT
接続詞,せつぞくし,conjunction,JLPT_1 JLPT
設置,せっち,"establishment, institution",JLPT_1 JLPT
折衷,せっちゅう,"compromise, cross, blending, eclecticism",JLPT_1 JLPT
設定,せってい,"establishment, creation",JLPT_1 JLPT
説得,せっとく,persuasion,JLPT_1 JLPT
切ない,せつない,"painful, trying, sad",JLPT_1 JLPT
絶版,ぜっぱん,out of print,JLPT_1 JLPT
設立,せつりつ,"establishment, foundation, institution",JLPT_1 JLPT
攻め,せめ,"attack, offense",JLPT_1 JLPT
ゼリー,ゼリー,jelly,JLPT_1 JLPT
セレモニー,セレモニー,ceremony,JLPT_1 JLPT
世論,せろん,public opinion,JLPT_1 JLPT
先,せん,"priority, precedence, previous",JLPT_1 JLPT
繊維,せんい,"fiber, fiber, textile",JLPT_1 JLPT
全快,ぜんかい,complete recovery of health,JLPT_1 JLPT
宣教,せんきょう,religious mission,JLPT_1 JLPT
宣言,せんげん,"declaration, proclamation, announcement",JLPT_1 JLPT
戦災,せんさい,war damage,JLPT_1 JLPT
専修,せんしゅう,specialization,JLPT_1 JLPT
戦術,せんじゅつ,tactics,JLPT_1 JLPT
センス,センス,"sense (for music, style, tact, etc.)",JLPT_1 JLPT
潜水,せんすい,diving,JLPT_1 JLPT
全盛,ぜんせい,height of prosperity,JLPT_1 JLPT
先代,せんだい,"family predecessor, previous age, previous generation",JLPT_1 JLPT
先だって,せんだって,"recently, the other day",JLPT_1 JLPT
先着,せんちゃく,first arrival,JLPT_1 JLPT
前提,ぜんてい,"preamble, premise, prerequisite",JLPT_1 JLPT
先天的,せんてんてき,"inherent, congenital, hereditary",JLPT_1 JLPT
前途,ぜんと,"future prospects, outlook, the journey ahead",JLPT_1 JLPT
戦闘,せんとう,"battle, fight, combat",JLPT_1 JLPT
潜入,せんにゅう,"infiltration, sneaking in",JLPT_1 JLPT
船舶,せんぱく,ship,JLPT_1 JLPT
全滅,ぜんめつ,annihilation,JLPT_1 JLPT
専用,せんよう,"exclusive use, personal use",JLPT_1 JLPT
占領,せんりょう,"occupation, possession, have a room to oneself",JLPT_1 JLPT
善良,ぜんりょう,"goodness, excellence, virtue",JLPT_1 JLPT
戦力,せんりょく,war potential,JLPT_1 JLPT
前例,ぜんれい,precedent,JLPT_1 JLPT
相応,そうおう,"suitability, fitness",JLPT_1 JLPT
総会,そうかい,general meeting,JLPT_1 JLPT
創刊,そうかん,"launching (e.g., newspaper, first issue)",JLPT_1 JLPT
雑木,ぞうき,"various kinds of small trees, assorted trees",JLPT_1 JLPT
早急,そうきゅう,urgent,JLPT_1 JLPT
早急,さっきゅう,urgent,JLPT_1 JLPT
増強,ぞうきょう,"reinforce, increase",JLPT_1 JLPT
送金,そうきん,"remittance, sending money",JLPT_1 JLPT
走行,そうこう,"running a wheeled vehicle (e.g., car, traveling)",JLPT_1 JLPT
総合,そうごう,"synthesis, generalization",JLPT_1 JLPT
捜索,そうさく,"search (esp. for someone or something missing, investigation)",JLPT_1 JLPT
蔵相,ぞうしょう,Minister of Finance,JLPT_1 JLPT
装飾,そうしょく,ornament,JLPT_1 JLPT
増進,ぞうしん,"promoting, increase, advance",JLPT_1 JLPT
相対,そうたい,relative,JLPT_1 JLPT
壮大,そうだい,"magnificent, grand, majestic",JLPT_1 JLPT
騒動,そうどう,"strife, riot, rebellion",JLPT_1 JLPT
遭難,そうなん,"disaster, shipwreck, accident",JLPT_1 JLPT
相場,そうば,"market price, speculation, estimation",JLPT_1 JLPT
装備,そうび,equipment,JLPT_1 JLPT
創立,そうりつ,"establishment, founding",JLPT_1 JLPT
添える,そえる,"to add to, to attach, to accompany",JLPT_1 JLPT
ソース,ソース,source,JLPT_1 JLPT
即座に,そくざに,"immediately, right away",JLPT_1 JLPT
促進,そくしん,"promotion, acceleration, encouragement",JLPT_1 JLPT
即する,そくする,"to conform to, to agree with, to be adapted to,",JLPT_1 JLPT
束縛,そくばく,"restraint, restriction, confinement",JLPT_1 JLPT
側面,そくめん,"side, sidelight, lateral",JLPT_1 JLPT
損う,そこなう,"to harm, to hurt",JLPT_1 JLPT
そこら,そこら,"everywhere, somewhere",JLPT_1 JLPT
素材,そざい,"raw materials, subject matter",JLPT_1 JLPT
阻止,そし,"obstruction, check, hindrance",JLPT_1 JLPT
訴訟,そしょう,"litigation, lawsuit",JLPT_1 JLPT
育ち,そだち,"breeding, growth",JLPT_1 JLPT
措置,そち,"measure, step",JLPT_1 JLPT
ソックス,ソックス,socks,JLPT_1 JLPT
素っ気無い,そっけない,"cold, short, curt, blunt",JLPT_1 JLPT
外方,そっぽ,look (or turn) the other way,JLPT_1 JLPT
備え付ける,そなえつける,"to provide, to equip, to install",JLPT_1 JLPT
備わる,そなわる,to be furnished with,JLPT_1 JLPT
具わる,そなわる,to be furnished with,JLPT_1 JLPT
聳える,そびえる,"to rise, to tower, to soar",JLPT_1 JLPT
素朴,そぼく,"simplicity, artlessness, naivety",JLPT_1 JLPT
背く,そむく,"to run counter to, to go against",JLPT_1 JLPT
染まる,そまる,to be dyed,JLPT_1 JLPT
染める,そめる,"to dye, to color",JLPT_1 JLPT
そらす,そらす,"to bend, to warp",JLPT_1 JLPT
そり (～にのる),そり (～にのる),"sleigh, sled",JLPT_1 JLPT
反る,そる,"to warp, to be warped, to curve",JLPT_1 JLPT
それゆえ,それゆえ,"therefore, for that reason, so",JLPT_1 JLPT
ソロ,ソロ,solo,JLPT_1 JLPT
揃い,そろい,"set, suit, uniform",JLPT_1 JLPT
ぞんざい,ぞんざい,"rude, careless, slovenly",JLPT_1 JLPT
損失,そんしつ,loss,JLPT_1 JLPT
存続,そんぞく,"duration, continuance",JLPT_1 JLPT
ダース,ダース,dozen,JLPT_1 JLPT
対応,たいおう,dealing with,JLPT_1 JLPT
大家,たいか,"rich family, distinguished family",JLPT_1 JLPT
退化,たいか,"degeneration, retrogression",JLPT_1 JLPT
大概,たいがい,"in general, mainly",JLPT_1 JLPT
体格,たいかく,"physique, constitution",JLPT_1 JLPT
大金,たいきん,large amount of money,JLPT_1 JLPT
待遇,たいぐう,"treatment, reception",JLPT_1 JLPT
対決,たいけつ,"confrontation, showdown",JLPT_1 JLPT
体験,たいけん,personal experience,JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese
対抗,たいこう,"opposition, antagonism",JLPT_1 JLPT
退治,たいじ,extermination,JLPT_1 JLPT
大衆,たいしゅう,general public,JLPT_1 JLPT
対処,たいしょ,"deal with, cope",JLPT_1 JLPT
退職,たいしょく,retirement (from office),JLPT_1 JLPT
題する,だいする,to title,JLPT_1 JLPT
態勢,たいせい,"attitude, conditions, tendency",JLPT_1 JLPT
対談,たいだん,"talk, dialogue",JLPT_1 JLPT
大胆,だいたん,"bold, daring, audacious",JLPT_1 JLPT
対等,たいとう,equivalent,JLPT_1 JLPT
台無し,だいなし,"mess, spoiled, (come to) nothing",JLPT_1 JLPT
滞納,たいのう,"non-payment, default",JLPT_1 JLPT
対比,たいひ,"contrast, comparison",JLPT_1 JLPT
タイピスト,タイピスト,typist,JLPT_1 JLPT
大部,たいぶ,"most (e.g., most part, greater, fairly, a good deal, much)",JLPT_1 JLPT
大便,だいべん,feces,JLPT_1 JLPT
代弁,だいべん,speak for another,JLPT_1 JLPT
待望,たいぼう,"long-expected, waiting",JLPT_1 JLPT
台本,だいほん,"libretto, scenario",JLPT_1 JLPT
タイマー,タイマー,timer,JLPT_1 JLPT
怠慢,たいまん,"negligence, carelessness",JLPT_1 JLPT
タイミング,タイミング,timing,JLPT_1 JLPT
タイム,タイム,time,JLPT_1 JLPT
タイムリー,タイムリー,"timely, run-batted-in (baseball), RBI",JLPT_1 JLPT
対面,たいめん,"interview, meeting",JLPT_1 JLPT
代用,だいよう,substitution,JLPT_1 JLPT
体力,たいりょく,physical strength,JLPT_1 JLPT
タイル,タイル,tile,JLPT_1 JLPT
対話,たいわ,"conversation, dialogue",JLPT_1 JLPT
耐える,たえる,"to endure, to put up with",JLPT_1 JLPT
堪える,たえる,"to endure, to put up with",JLPT_1 JLPT
絶える,たえる,"to die out, to become extinct",JLPT_1 JLPT
断える,たえる,"to cease, to become extinct",JLPT_1 JLPT
打開,だかい,"solution, breakthrough",JLPT_1 JLPT
焚火,たきび,(open) fire,JLPT_1 JLPT
妥協,だきょう,"compromise, giving in",JLPT_1 JLPT
たくましい,たくましい,"burly, strong, sturdy",JLPT_1 JLPT
巧み,たくみ,"skill, cleverness",JLPT_1 JLPT
丈,たけ,"length, height",JLPT_1 JLPT
打撃,だげき,"blow, damage; batting (baseball)",JLPT_1 JLPT
妥結,だけつ,agreement,JLPT_1 JLPT
駄作,ださく,poor work,JLPT_1 JLPT
足し算,たしざん,addition,JLPT_1 JLPT
多数決,たすうけつ,majority rule,JLPT_1 JLPT
助け,たすけ,assistance,JLPT_1 JLPT
携わる,たずさわる,"to engage, to involve",JLPT_1 JLPT
漂う,ただよう,"to drift about, to float, to hang in air",JLPT_1 JLPT
立ち去る,たちさる,"to leave, to depart",JLPT_1 JLPT
立ち寄る,たちよる,"to stop by, to drop in for a short visit",JLPT_1 JLPT
抱っこ,だっこ,(child's) hug,JLPT_1 JLPT
達者,たっしゃ,"skillful, in good health",JLPT_1 JLPT
脱出,だっしゅつ,escape,JLPT_1 JLPT
脱する,だっする,"to escape from, to get out",JLPT_1 JLPT
達成,たっせい,achievement,JLPT_1 JLPT
脱退,だったい,"secession, withdrawal",JLPT_1 JLPT
だったら,だったら,if it's the case,JLPT_1 JLPT
立て替える,たてかえる,"to pay in advance, to pay for another",JLPT_1 JLPT
建前,たてまえ,position; stance one takes in public; principle,JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
奉る,たてまつる,"to offer, to do respectfully",JLPT_1 JLPT
だと,だと,if it's the case,JLPT_1 JLPT
他動詞,たどうし,transitive verb (direct object),JLPT_1 JLPT
辿り着く,たどりつく,"to reach, to make it somehow",JLPT_1 JLPT
辿る,たどる,"to follow (road, to pursue (course), to follow up",JLPT_1 JLPT
束ねる,たばねる,"to tie up in a bundle, to control",JLPT_1 JLPT
だぶだぶ,だぶだぶ,"loose, baggy",JLPT_1 JLPT
他方,たほう,"another side, on the other hand",JLPT_1 JLPT
多忙,たぼう,busy,JLPT_1 JLPT
給う,たまう,"to receive, to grant",JLPT_1 JLPT
魂,たましい,"soul, spirit",JLPT_1 JLPT
溜まり,たまり,"collected things, gathering place, arrears",JLPT_1 JLPT
賜る,たまわる,"to grant, to bestow",JLPT_1 JLPT
保つ,たもつ,"to keep, to preserve, to sustain",JLPT_1 JLPT
たやすい,たやすい,"easy, simple, light",JLPT_1 JLPT
多様,たよう,"diversity, variety",JLPT_1 JLPT
だるい,だるい,"sluggish, feel heavy (tired), languid",JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese
弛み,たるみ,"slack, slackening",JLPT_1 JLPT
弛む,たるむ,"to slacken, to loosen, to relax",JLPT_1 JLPT
垂れる,たれる,"to hang, to droop; to drip",JLPT_1 JLPT
タレント,タレント,"talent, star, personality",JLPT_1 JLPT
タワー,タワー,tower,JLPT_1 JLPT
単一,たんいつ,"single, simple, sole",JLPT_1 JLPT
短歌,たんか,31-syllable Japanese poem,JLPT_1 JLPT
担架,たんか,"stretcher, litter",JLPT_1 JLPT
短気,たんき,quick temper,JLPT_1 JLPT
団結,だんけつ,"unity, union, solidarity",JLPT_1 JLPT
探検,たんけん,"exploration, expedition",JLPT_1 JLPT
断言,だんげん,"assertion, declaration, affirmation",JLPT_1 JLPT
短縮,たんしゅく,"shortening, abbreviation, reduction",JLPT_1 JLPT
断然,だんぜん,"firmly, absolutely, definitely",JLPT_1 JLPT
炭素,たんそ,carbon (C),JLPT_1 JLPT
短大,たんだい,junior college,JLPT_1 JLPT
単調,たんちょう,"monotony, monotone, dullness",JLPT_1 JLPT
単独,たんどく,"sole, single",JLPT_1 JLPT
旦那,だんな,"master (of house), husband (informal)",JLPT_1 JLPT
短波,たんぱ,short wave,JLPT_1 JLPT
蛋白質,たんぱくしつ,protein,JLPT_1 JLPT
ダンプ,ダンプ,dump truck,JLPT_1 JLPT
断面,だんめん,cross section,JLPT_1 JLPT
弾力,だんりょく,"elasticity, flexibility",JLPT_1 JLPT
治安,ちあん,"public order, security",JLPT_1 JLPT
チームワーク,チームワーク,teamwork,JLPT_1 JLPT
チェンジ,チェンジ,change,JLPT_1 JLPT
違える,ちがえる,to change,JLPT_1 JLPT
畜産,ちくさん,animal husbandry,JLPT_1 JLPT
畜生,ちくしょう,"beast, brute, damn",JLPT_1 JLPT
蓄積,ちくせき,"accumulation, accumulate, store",JLPT_1 JLPT
地形,ちけい,"landform, geographical features, topography",JLPT_1 JLPT
知性,ちせい,intelligence,JLPT_1 JLPT
乳,ちち,"milk, breast, loop",JLPT_1 JLPT
縮まる,ちぢまる,"to be shortened, to be contracted, to shrink",JLPT_1 JLPT
秩序,ちつじょ,"order, regularity",JLPT_1 JLPT Intermediate_Japanese_Ln.10 Intermediate_Japanese
窒息,ちっそく,suffocation,JLPT_1 JLPT
知的,ちてき,intellectual,JLPT_1 JLPT
着手,ちゃくしゅ,"embarkation, launch",JLPT_1 JLPT
着色,ちゃくしょく,"coloring, coloring",JLPT_1 JLPT
着席,ちゃくせき,"sit down, seat",JLPT_1 JLPT
着目,ちゃくもく,attention,JLPT_1 JLPT
着陸,ちゃくりく,"landing, touch down",JLPT_1 JLPT
着工,ちゃっこう,start of (construction) work,JLPT_1 JLPT
茶の間,ちゃのま,living room (Japanese style),JLPT_1 JLPT
茶の湯,ちゃのゆ,tea ceremony,JLPT_1 JLPT
ちやほや,ちやほや,"pamper, make a fuss of, spoil",JLPT_1 JLPT
チャンネル,チャンネル,a channel,JLPT_1 JLPT
宙返り,ちゅうがえり,"somersault, looping-the-loop",JLPT_1 JLPT
中継,ちゅうけい,"relay, hook-up",JLPT_1 JLPT
忠告,ちゅうこく,"advice, warning",JLPT_1 JLPT
中傷,ちゅうしょう,"slander, libel, defamation",JLPT_1 JLPT
中枢,ちゅうすう,"center, mainstay, nucleus",JLPT_1 JLPT
抽選,ちゅうせん,"lottery, raffle, drawing (of lots)",JLPT_1 JLPT
中断,ちゅうだん,"interruption, suspension, break",JLPT_1 JLPT
中毒,ちゅうどく,poisoning,JLPT_1 JLPT
中腹,ちゅうふく,"mountain side, halfway up",JLPT_1 JLPT
中立,ちゅうりつ,neutrality,JLPT_1 JLPT
中和,ちゅうわ,"neutralize, counteract",JLPT_1 JLPT
～著,～ちょ,written by ~,JLPT_1 JLPT
腸,ちょう,"bowels, intestines",JLPT_1 JLPT
蝶,ちょう,butterfly,JLPT_1 JLPT
超,ちょう,"super-, ultra-, hyper-",JLPT_1 JLPT
調印,ちょういん,"signature, sign, sealing",JLPT_1 JLPT
聴覚,ちょうかく,the sense of hearing,JLPT_1 JLPT
長官,ちょうかん,"chief, (government) secretary",JLPT_1 JLPT
聴講,ちょうこう,"lecture attendance, auditing",JLPT_1 JLPT
徴収,ちょうしゅう,"collection, levy",JLPT_1 JLPT
聴診器,ちょうしんき,stethoscope,JLPT_1 JLPT
調停,ちょうてい,"arbitration, conciliation, mediation",JLPT_1 JLPT
重複,ちょうふく,"duplication, repetition, overlapping, redundancy, restoration",JLPT_1 JLPT
長編,ちょうへん,"long (e.g., novel, film)",JLPT_1 JLPT
重宝,ちょうほう,"convenient, useful",JLPT_1 JLPT
調理,ちょうり,cooking,JLPT_1 JLPT
調和,ちょうわ,harmony,JLPT_1 JLPT
ちょくちょく,ちょくちょく,"often, frequently, now and then, occasionally",JLPT_1 JLPT
直面,ちょくめん,confrontation,JLPT_1 JLPT
著書,ちょしょ,"literary work, book",JLPT_1 JLPT
貯蓄,ちょちく,savings,JLPT_1 JLPT
直感,ちょっかん,"intuition, instinct",JLPT_1 JLPT
著名,ちょめい,"well-known, noted, celebrated",JLPT_1 JLPT
ちらっと,ちらっと,"at a glance, by accident",JLPT_1 JLPT
塵,ちり,"dust, dirt",JLPT_1 JLPT
塵取り,ちりとり,dustpan,JLPT_1 JLPT
賃金,ちんぎん,wages,JLPT_1 JLPT
沈殿,ちんでん,"precipitation, deposition, settlement",JLPT_1 JLPT
沈没,ちんぼつ,"sinking, foundering",JLPT_1 JLPT
沈黙,ちんもく,"silence, reticence",JLPT_1 JLPT
陳列,ちんれつ,"exhibition, display, show",JLPT_1 JLPT
追及,ついきゅう,"investigation, inquiry",JLPT_1 JLPT
追跡,ついせき,pursuit,JLPT_1 JLPT
追放,ついほう,"exile, banishment",JLPT_1 JLPT
費やす,ついやす,"to spend, to devote, to waste",JLPT_1 JLPT
墜落,ついらく,"falling, crashing",JLPT_1 JLPT
痛感,つうかん,"feeling keenly, fully realizing",JLPT_1 JLPT
通常,つうじょう,"common, normal, usual",JLPT_1 JLPT
痛切,つうせつ,"keen, deep",JLPT_1 JLPT
杖,つえ,cane,JLPT_1 JLPT
使い道,つかいみち,use,JLPT_1 JLPT
仕える,つかえる,"to serve, to work for",JLPT_1 JLPT
司る,つかさどる,"to rule, to govern, to administer",JLPT_1 JLPT
つかの間,つかのま,"moment, brief time,",JLPT_1 JLPT
月並,つきなみ,"conventional, trite, common",JLPT_1 JLPT
継目,つぎめ,"joint, seam",JLPT_1 JLPT
尽きる,つきる,"to be used up, to be run out",JLPT_1 JLPT
尽くす,つくす,"to exhaust, to run out; to devote, to serve",JLPT_1 JLPT
つくづく,つくづく,"completely, really",JLPT_1 JLPT
作り,つくり,"make up, structure, physique",JLPT_1 JLPT
造り,つくり,"make up, structure, physique",JLPT_1 JLPT
繕う,つくろう,"to mend, to repair",JLPT_1 JLPT
付け加える,つけくわえる,to add one thing to another,JLPT_1 JLPT
告げる,つげる,to inform,JLPT_1 JLPT
つじつま (はなしの～),つじつま (はなしの～),"coherence, consistency",JLPT_1 JLPT
筒,つつ,"pipe, tube",JLPT_1 JLPT
突く,つつく,"to thrust, to strike, to attack; to poke, to nudge, to pick at",JLPT_1 JLPT
